Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
00AA,City of London,117,66.1,48,27.1,12,6.8,180,,.,.,.,.,.,.,.
00AB,Barking and Dagenham,"5,371",37.1,"9,011",62.3,88,0.6,"14,470",,"3,504",27.1,"9,401",72.8,14,0.1,"12,920"
00AC,Barnet,"8,380",40.9,"12,057",58.9,28,0.1,"20,470",,"8,208",38.6,"12,959",61,77,0.4,"21,240"
00AD,Bexley,"1,782",11.2,"14,143",88.6,44,0.3,"15,970",,"1,999",10,"17,642",88.6,276,1.4,"19,920"
00AE,Brent,"11,692",64.2,"6,507",35.7,25,0.1,"18,220",,"9,815",54.5,"8,007",44.4,192,1.1,"18,010"
00AF,Bromley,"1,514",7.7,"18,051",91.8,103,0.5,"19,670",,"1,260",5.6,"20,443",91,767,3.4,"22,470"
00AG,Camden,"5,190",59.8,"3,484",40.2,0,0,"8,670",,"4,698",47,"5,252",52.6,42,0.4,"9,990"
00AH,Croydon,"6,203",26.9,"16,767",72.8,48,0.2,"23,020",,"4,206",20.4,"16,351",79.2,100,0.5,"20,660"
00AJ,Ealing,"11,950",59.2,"8,230",40.8,15,0.1,"20,200",,"8,119",47.4,"8,997",52.6,x,x,"17,120"
00AK,Enfield,"10,091",45.7,"11,911",54,59,0.3,"22,060",,"7,698",34.8,"13,880",62.8,515,2.3,"22,090"
00AL,Greenwich,"5,697",36,"10,099",63.8,30,0.2,"15,830",,"4,650",31.9,"9,578",65.6,364,2.5,"14,590"
00AM,Hackney,"7,225",54.5,"5,990",45.2,46,0.3,"13,260",,"3,595",44.6,"4,178",51.8,295,3.7,"8,070"
00AN,Hammersmith and Fulham,"3,393",47.5,"3,755",52.5,x,x,"7,150",,"2,795",40.6,"4,068",59,27,0.4,"6,890"
00AP,Haringey,"8,593",52.8,"7,660",47,28,0.2,"16,280",,"6,111",46.7,"6,847",52.3,136,1,"13,090"
00AQ,Harrow,"8,632",53.9,"7,295",45.6,80,0.5,"16,010",,"4,465",44.6,"5,433",54.3,103,1,"10,000"
00AR,Havering,"1,171",7.5,"14,446",92.1,63,0.4,"15,680",,788,4.7,"15,670",94.3,162,1,"16,620"
00AS,Hillingdon,"6,798",36.6,"11,761",63.2,37,0.2,"18,600",,"5,257",28.6,"13,113",71.3,31,0.2,"18,400"
00AT,Hounslow,"7,888",55,"6,344",44.2,114,0.8,"14,350",,"8,743",52.8,"7,668",46.3,145,0.9,"16,560"
00AU,Islington,"4,374",42.1,"5,993",57.7,13,0.1,"10,380",,"3,813",46.6,"4,349",53.2,13,0.2,"8,180"
00AW,Kensington and Chelsea,"2,861",53.8,"2,453",46.2,0,0,"5,310",,"1,665",48.8,"1,747",51.2,0,0,"3,410"
00AX,Kingston upon Thames,"2,541",28.5,"6,374",71.4,15,0.2,"8,930",,"2,298",23.5,"7,339",75.1,141,1.4,"9,780"
00AY,Lambeth,"7,448",48.2,"7,983",51.7,22,0.1,"15,450",,"3,804",40.1,"5,659",59.7,17,0.2,"9,480"
00AZ,Lewisham,"5,096",31.7,"10,898",67.7,98,0.6,"16,090",,"3,281",24.2,"9,990",73.8,262,1.9,"13,530"
00BA,Merton,"3,899",35.6,"7,050",64.3,13,0.1,"10,960",,"2,695",31.8,"5,721",67.4,69,0.8,"8,490"
00BB,Newham,"16,833",73.2,"6,079",26.4,89,0.4,"23,000",,"12,220",67.1,"5,799",31.8,196,1.1,"18,220"
00BC,Redbridge,"11,137",57.7,"8,117",42.1,44,0.2,"19,300",,"10,704",49.9,"10,633",49.6,117,0.5,"21,450"
